"TABLE 6. Published Tuition and Fees in Current Dollars and in 2017 Dollars, 2007-08 to 2017-18 and Full-Time Fall Undergraduate Enrollment, 2007 to 2015 at Flagship Universities",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,In-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Out-of-State Tuition and Fees,,,,,,,,,,,Percentage Change,,Full-Time Fall Enrollment,,,,,,,,
In 2017 Dollars,STATE,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,1-Year,5-Year,2007,2008,2009,2010,2011,2012,2013,2014,2015
University of Alaska Fairbanks,AK,"$5,284","$5,373","$5,835","$5,969","$6,035","$6,302","$6,275","$6,352","$6,979","$7,308","$7,518",3%,19%,"$15,825","$15,856","$17,091","$17,859","$18,647","$19,604","$19,856","$20,037","$21,318","$22,230","$22,908",3%,17%,"3,183","3,292","3,477","3,626","3,692","3,609","3,556","3,385","3,310"
University of Alabama,AL,"$6,698","$7,122","$7,957","$8,870","$9,318","$9,830","$9,903","$10,096","$10,431","$10,650","$10,780",1%,10%,"$19,411","$20,031","$21,824","$23,018","$23,729","$24,521","$25,097","$25,634","$26,617","$27,414","$28,100",3%,15%,"19,238","20,397","21,552","22,587","23,592","25,109","26,247","27,331","28,447"
University of Arkansas,AR,"$7,096","$7,122","$7,342","$7,599","$7,773","$8,070","$8,193","$8,435","$8,741","$8,972","$9,062",1%,12%,"$17,031","$17,002","$17,556","$17,965","$19,076","$19,696","$19,989","$20,859","$22,387","$23,566","$24,308",3%,23%,"12,488","12,967","13,534","14,785","16,477","17,687","18,455","19,029","19,426"
University of Arizona,AZ,"$5,919","$6,155","$7,792","$9,249","$10,075","$10,722","$10,889","$11,258","$11,696","$11,971","$11,877",-1%,11%,"$19,121","$20,771","$25,657","$27,618","$27,639","$28,026","$28,370","$30,228","$33,438","$36,636","$35,307",-4%,26%,"25,076","25,807","27,094","26,797","27,234","28,063","28,723","29,342","29,652"
University of California: Berkeley,CA,"$8,419","$8,520","$11,082","$12,284","$13,907","$13,755","$13,480","$13,328","$13,776","$13,717","$13,928",2%,1%,"$31,476","$31,453","$36,849","$37,972","$38,695","$38,199","$37,454","$36,833","$39,119","$40,858","$41,942",3%,10%,"23,863","24,385","24,796","24,929","25,138","25,026","25,044","26,320","26,622"
University of Colorado at Boulder,CO,"$7,797","$8,099","$9,016","$9,556","$9,916","$10,131","$11,033","$11,085","$11,376","$11,729","$12,086",3%,19%,"$29,141","$29,775","$32,047","$33,115","$32,862","$33,526","$33,844","$34,060","$35,002","$35,682","$36,220",2%,8%,"23,769","24,330","24,749","23,925","24,083","23,474","23,759","24,124","24,808"
University of Connecticut,CT,"$10,391","$10,392","$11,237","$11,695","$11,561","$12,012","$12,598","$13,048","$13,707","$14,308","$14,880",4%,24%,"$26,777","$26,764","$29,081","$30,181","$29,868","$31,064","$32,454","$33,782","$35,805","$36,475","$36,948",1%,19%,"15,555","16,013","16,240","16,496","16,915","16,587","17,083","17,524","17,989"
University of Delaware,DE,"$9,578","$9,622","$10,783","$11,462","$12,127","$12,482","$12,692","$12,681","$12,842","$13,051","$13,160",1%,5%,"$22,798","$23,510","$26,607","$28,528","$29,755","$30,741","$31,366","$31,534","$32,227","$32,805","$33,150",1%,8%,"14,519","14,639","15,042","15,140","15,548","15,896","16,031","16,694","16,789"
University of Florida,FL,"$3,960","$4,218","$4,971","$5,665","$6,129","$6,563","$6,563","$6,486","$6,545","$6,491","$6,381",-2%,-3%,"$20,907","$22,969","$26,989","$30,678","$30,266","$30,365","$29,907","$29,374","$29,394","$29,151","$28,658",-2%,-6%,"32,306","32,037","31,121","30,210","30,069","29,984","30,054","29,915","30,594"
